event_id,customer_id,event_type,event_date,session_id,product_id,device
1,3162,page_view,2023-10-06,a7b5a6ce,,desktop
2,3162,search,2023-11-30,1157b62a,79.0,mobile
3,3162,product_view,2023-04-18,3000b791,,tablet
4,3162,add_to_cart,2023-12-02,954b3180,,desktop
5,3162,add_to_cart,2023-10-11,8ba97cae,24.0,desktop
6,3162,checkout_complete,2023-07-30,26e21b78,,mobile
7,3162,checkout_complete,2024-01-26,726d0610,,tablet
8,3162,page_view,2023-04-30,d317f81e,,mobile
9,3162,product_view,2023-04-13,1fbd1497,175.0,tablet
10,3162,page_view,2023-02-26,e13b0cb4,,desktop
11,3162,search,2024-02-08,f85ee807,,desktop
12,3162,page_view,2023-11-24,3e7186a3,,mobile
13,3162,page_view,2023-09-29,57a8b977,,mobile
14,3162,page_view,2024-03-08,fd26482e,162.0,desktop
15,3162,page_view,2023-08-23,fd19a010,147.0,mobile
16,3162,page_view,2023-04-08,70fcf948,,mobile
17,3162,search,2023-06-09,f5876c1a,,mobile
18,3162,search,2023-12-18,f2d290a9,34.0,desktop
19,3162,search,2023-12-19,7665ec62,83.0,mobile
20,3162,page_view,2023-07-17,80e29f02,50.0,desktop
21,3162,wishlist_add,2024-02-16,e2fe1dfb,,mobile
22,3162,page_view,2023-05-22,3d1cb6f6,22.0,mobile
23,3162,checkout_start,2023-08-31,873e04fb,,desktop
24,3162,add_to_cart,2023-10-26,4acd9a0e,194.0,desktop
25,3162,product_view,2023-12-19,3e137111,,desktop
26,3162,add_to_cart,2023-02-06,0d43d095,50.0,mobile
27,3162,checkout_start,2023-10-29,97fa1eb7,,mobile
28,3162,product_view,2023-08-09,c53e2ee9,40.0,desktop
29,3162,checkout_complete,2023-03-17,21e020e7,173.0,mobile
30,3162,page_view,2023-10-09,a888bc50,79.0,desktop
31,3162,product_view,2023-10-08,027964c0,,desktop
32,3162,page_view,2023-10-16,08cae97b,17.0,mobile
33,3162,page_view,2023-05-11,32336681,175.0,desktop
34,3162,checkout_complete,2023-11-04,d345d576,213.0,mobile
35,3162,product_view,2024-02-09,bf259761,,mobile
36,3162,product_view,2024-03-18,e4d4d77d,,mobile
37,3162,checkout_start,2023-09-26,3f649a21,58.0,mobile
38,3162,add_to_cart,2023-08-01,5ad95348,222.0,desktop
39,3162,product_view,2023-05-17,13b2e547,,mobile
40,3162,page_view,2023-04-08,2f6dcf6f,123.0,mobile
41,3162,product_view,2024-01-04,6f0e6736,107.0,mobile
42,3162,add_to_cart,2023-10-10,2b7ee7ab,30.0,mobile
43,3162,page_view,2023-02-01,9d139044,,desktop
44,3162,page_view,2023-09-21,a94dcfda,,desktop
45,3162,page_view,2024-03-01,104cbbea,44.0,mobile
46,3162,checkout_start,2023-12-23,e46a03a7,75.0,mobile
47,3162,add_to_cart,2023-05-30,cdf5abc9,99.0,mobile
48,3162,product_view,2023-12-23,8f7aa801,188.0,desktop
49,3162,product_view,2023-07-19,9a399a83,12.0,desktop
50,3162,product_view,2023-02-02,6089dca5,,desktop
51,3162,checkout_start,2024-03-26,9b400b57,35.0,mobile
52,3162,page_view,2023-10-31,923ebbeb,,mobile
53,1049,page_view,2022-05-25,2da7e205,183.0,desktop
54,1049,add_to_cart,2024-03-31,5a753cb8,212.0,mobile
55,1049,add_to_cart,2022-04-14,ee834d73,,mobile
56,1049,checkout_complete,2023-11-14,a794a9ae,129.0,desktop
57,1049,checkout_complete,2023-11-29,5247e43c,15.0,tablet
58,1049,page_view,2024-01-31,bae6bed3,19.0,mobile
59,1049,page_view,2023-07-17,7e56b18f,128.0,mobile
60,1049,product_view,2023-12-05,b8e823ef,93.0,mobile
61,1049,wishlist_add,2023-06-03,ceb28baa,,mobile
62,1049,remove_from_cart,2022-10-29,9f677164,63.0,mobile
63,1049,page_view,2024-01-18,d2f98312,,tablet
64,1049,page_view,2023-11-23,1903dd1c,212.0,mobile
65,1049,product_view,2022-03-04,577220ef,191.0,mobile
66,1049,add_to_cart,2022-07-04,1d1f423f,,tablet
67,1049,page_view,2022-05-08,b19cf3b7,62.0,mobile
68,1049,add_to_cart,2023-09-13,90e9b76b,208.0,mobile
69,1049,checkout_start,2024-01-07,93f01bda,,mobile
70,1049,search,2022-05-07,96adf74e,114.0,desktop
71,1049,product_view,2022-12-20,d7043026,,desktop
72,1049,remove_from_cart,2022-09-02,3ea015a6,186.0,mobile
73,1049,page_view,2023-06-23,8e55ae00,,mobile
74,1049,checkout_complete,2024-01-31,42d4a987,,mobile
75,1049,checkout_complete,2023-10-07,846d9d4e,,tablet
76,1049,add_to_cart,2022-03-02,9d6d0f2e,113.0,desktop
77,1049,search,2022-06-16,c8604ccf,16.0,desktop
78,1049,page_view,2023-10-12,ce83538b,,mobile
79,1049,page_view,2023-12-07,c02f72e8,215.0,desktop
