customer_id,segment,total_revenue,total_orders,last_order,days_since_last_order,risk_level
7558,premium,67011.73,33,2024-02-12 00:00:00,48,Medium risk
2268,vip,59409.36,22,2024-02-10 00:00:00,50,Medium risk
4859,vip,53232.85,22,2024-01-08 00:00:00,83,High risk
4454,vip,52800.270000000004,21,2024-02-05 00:00:00,55,Medium risk
9580,premium,47228.12,18,2024-02-05 00:00:00,55,Medium risk
7227,premium,40295.53,17,2024-01-21 00:00:00,70,High risk
7225,vip,36593.41,13,2024-02-12 00:00:00,48,Medium risk
1353,vip,35693.65,11,2024-01-21 00:00:00,70,High risk
7776,premium,35681.340000000004,15,2024-01-21 00:00:00,70,High risk
3918,regular,33606.11,15,2024-01-30 00:00:00,61,High risk
5491,vip,32096.98,10,2024-01-19 00:00:00,72,High risk
9186,premium,31975.94,8,2024-01-29 00:00:00,62,High risk
883,premium,31600.14,12,2024-01-30 00:00:00,61,High risk
9723,vip,31454.62,17,2024-01-18 00:00:00,73,High risk
2385,vip,31444.42,22,2024-01-19 00:00:00,72,High risk
8122,premium,30700.89,13,2024-02-11 00:00:00,49,Medium risk
3496,premium,30286.34,12,2024-01-27 00:00:00,64,High risk
1994,regular,29866.19,12,2024-01-18 00:00:00,73,High risk
7543,premium,27856.78,19,2024-01-29 00:00:00,62,High risk
5027,regular,27804.0,7,2024-02-09 00:00:00,51,Medium risk
5017,premium,27009.84,9,2024-01-22 00:00:00,69,High risk
2431,premium,26973.88,15,2024-02-07 00:00:00,53,Medium risk
6852,vip,26907.4,6,2024-01-10 00:00:00,81,High risk
6239,regular,26157.1,7,2024-02-08 00:00:00,52,Medium risk
7636,premium,25605.44,10,2024-02-10 00:00:00,50,Medium risk
8631,vip,24539.74,7,2024-02-11 00:00:00,49,Medium risk
9831,regular,24473.57,8,2024-01-21 00:00:00,70,High risk
2619,premium,24418.41,9,2024-02-01 00:00:00,59,Medium risk
1996,premium,24152.03,9,2024-01-30 00:00:00,61,High risk
9779,regular,23996.72,8,2024-01-03 00:00:00,88,High risk
