Cohort,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25
2022-01,100.0,36.5,14.3,4.8,1.6,1.6,6.3,,,3.2,1.6,4.8,1.6,,,,4.8,3.2,3.2,4.8,3.2,,4.8,1.6,3.2,
2022-02,100.0,21.3,9.6,5.3,7.4,2.1,5.3,3.2,1.1,5.3,8.5,3.2,2.1,4.3,4.3,4.3,4.3,4.3,6.4,3.2,5.3,6.4,7.4,5.3,3.2,5.3
2022-03,100.0,21.4,11.9,4.8,5.6,4.8,7.1,3.2,4.8,4.8,7.9,7.9,5.6,4.0,7.1,7.9,7.1,5.6,3.2,4.8,4.8,7.1,7.1,5.6,7.1,
2022-04,100.0,27.9,15.0,8.8,6.8,8.2,6.1,4.1,6.8,8.2,11.6,10.2,7.5,9.5,4.1,6.1,6.1,5.4,4.8,4.8,7.5,5.4,6.1,7.5,,
2022-05,100.0,23.1,14.1,5.8,4.5,3.2,4.5,4.5,5.1,2.6,6.4,4.5,6.4,7.1,7.7,4.5,8.3,5.1,6.4,5.8,1.9,7.1,9.0,,,
2022-06,100.0,22.5,9.1,7.5,8.6,7.5,9.1,5.3,3.7,6.4,6.4,8.0,4.3,5.9,5.3,4.8,4.3,7.5,5.3,7.0,4.8,6.4,,,,
2022-07,100.0,21.9,12.5,7.5,8.1,5.0,9.4,7.5,5.0,5.6,10.0,6.9,5.6,8.8,1.9,4.4,3.8,5.6,2.5,6.3,5.6,,,,,
2022-08,100.0,19.5,9.3,7.8,13.2,8.8,7.3,6.8,7.8,5.4,8.3,10.7,8.8,6.3,7.8,6.8,8.8,8.8,8.8,6.3,,,,,,
2022-09,100.0,19.7,14.1,8.1,6.1,7.6,9.1,10.1,9.1,6.6,5.1,8.1,6.6,5.6,9.1,9.1,8.1,9.1,9.1,,,,,,,
2022-10,100.0,20.7,9.5,8.2,6.0,7.3,8.6,8.6,9.5,8.2,3.9,9.5,7.3,7.8,8.2,6.5,8.6,6.0,,,,,,,,
2022-11,100.0,15.4,10.0,8.5,7.3,7.3,10.0,5.8,8.9,8.5,7.7,6.6,7.7,6.2,7.3,9.7,8.9,,,,,,,,,
2022-12,100.0,23.1,14.1,10.6,12.5,7.5,10.6,11.0,9.4,11.8,8.6,9.8,9.8,10.6,8.6,11.4,,,,,,,,,,
2023-01,100.0,15.5,10.2,7.8,9.0,9.4,6.5,9.4,11.4,6.9,10.2,11.0,9.0,8.2,8.6,,,,,,,,,,,
2023-02,100.0,23.6,12.7,7.6,8.3,6.9,10.9,8.0,8.7,7.2,8.0,7.2,8.7,9.4,,,,,,,,,,,,
2023-03,100.0,14.1,11.3,12.7,8.1,10.2,9.2,9.5,9.2,11.0,10.2,9.2,9.9,,,,,,,,,,,,,
2023-04,100.0,19.0,12.5,12.2,10.8,12.5,11.9,10.2,10.5,11.5,8.8,9.8,,,,,,,,,,,,,,
2023-05,100.0,18.0,14.4,9.5,8.6,8.6,9.5,13.8,10.4,10.7,8.9,,,,,,,,,,,,,,,
2023-06,100.0,19.9,14.0,13.7,13.7,12.6,13.7,13.5,12.9,14.0,,,,,,,,,,,,,,,,
2023-07,100.0,20.1,12.7,12.1,10.9,13.3,12.7,13.3,15.7,,,,,,,,,,,,,,,,,
2023-08,100.0,20.8,15.6,9.6,12.0,10.4,10.2,13.3,,,,,,,,,,,,,,,,,,
2023-09,100.0,19.5,12.5,11.3,9.3,10.5,11.3,,,,,,,,,,,,,,,,,,,
2023-10,100.0,16.7,18.7,13.7,16.7,15.0,,,,,,,,,,,,,,,,,,,,
2023-11,100.0,21.3,17.3,13.1,14.5,,,,,,,,,,,,,,,,,,,,,
2023-12,100.0,24.3,18.1,19.8,,,,,,,,,,,,,,,,,,,,,,
2024-01,100.0,22.9,19.0,,,,,,,,,,,,,,,,,,,,,,,
2024-02,100.0,28.3,,,,,,,,,,,,,,,,,,,,,,,,
2024-03,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
