cohort_month,cohort_size,period_number,retained_customers,retention_pct
2022-01,63,0,63,100.0
2022-01,63,1,23,36.5
2022-01,63,2,9,14.3
2022-01,63,3,3,4.8
2022-01,63,4,1,1.6
2022-01,63,5,1,1.6
2022-01,63,6,4,6.3
2022-01,63,9,2,3.2
2022-01,63,10,1,1.6
2022-01,63,11,3,4.8
2022-01,63,12,1,1.6
2022-01,63,16,3,4.8
2022-01,63,17,2,3.2
2022-01,63,18,2,3.2
2022-01,63,19,3,4.8
2022-01,63,20,2,3.2
2022-01,63,22,3,4.8
2022-01,63,23,1,1.6
2022-01,63,24,2,3.2
2022-02,94,0,94,100.0
2022-02,94,1,20,21.3
2022-02,94,2,9,9.6
2022-02,94,3,5,5.3
2022-02,94,4,7,7.4
2022-02,94,5,2,2.1
2022-02,94,6,5,5.3
2022-02,94,7,3,3.2
2022-02,94,8,1,1.1
2022-02,94,9,5,5.3
2022-02,94,10,8,8.5
2022-02,94,11,3,3.2
2022-02,94,12,2,2.1
2022-02,94,13,4,4.3
2022-02,94,14,4,4.3
2022-02,94,15,4,4.3
2022-02,94,16,4,4.3
2022-02,94,17,4,4.3
2022-02,94,18,6,6.4
2022-02,94,19,3,3.2
2022-02,94,20,5,5.3
2022-02,94,21,6,6.4
2022-02,94,22,7,7.4
2022-02,94,23,5,5.3
2022-02,94,24,3,3.2
2022-02,94,25,5,5.3
2022-03,126,0,126,100.0
2022-03,126,1,27,21.4
2022-03,126,2,15,11.9
2022-03,126,3,6,4.8
2022-03,126,4,7,5.6
2022-03,126,5,6,4.8
2022-03,126,6,9,7.1
2022-03,126,7,4,3.2
2022-03,126,8,6,4.8
2022-03,126,9,6,4.8
2022-03,126,10,10,7.9
2022-03,126,11,10,7.9
2022-03,126,12,7,5.6
2022-03,126,13,5,4.0
2022-03,126,14,9,7.1
2022-03,126,15,10,7.9
2022-03,126,16,9,7.1
2022-03,126,17,7,5.6
2022-03,126,18,4,3.2
2022-03,126,19,6,4.8
2022-03,126,20,6,4.8
2022-03,126,21,9,7.1
2022-03,126,22,9,7.1
2022-03,126,23,7,5.6
2022-03,126,24,9,7.1
2022-04,147,0,147,100.0
2022-04,147,1,41,27.9
2022-04,147,2,22,15.0
2022-04,147,3,13,8.8
2022-04,147,4,10,6.8
2022-04,147,5,12,8.2
2022-04,147,6,9,6.1
2022-04,147,7,6,4.1
2022-04,147,8,10,6.8
2022-04,147,9,12,8.2
2022-04,147,10,17,11.6
2022-04,147,11,15,10.2
2022-04,147,12,11,7.5
2022-04,147,13,14,9.5
2022-04,147,14,6,4.1
2022-04,147,15,9,6.1
2022-04,147,16,9,6.1
2022-04,147,17,8,5.4
2022-04,147,18,7,4.8
2022-04,147,19,7,4.8
2022-04,147,20,11,7.5
2022-04,147,21,8,5.4
2022-04,147,22,9,6.1
2022-04,147,23,11,7.5
2022-05,156,0,156,100.0
2022-05,156,1,36,23.1
2022-05,156,2,22,14.1
2022-05,156,3,9,5.8
2022-05,156,4,7,4.5
2022-05,156,5,5,3.2
2022-05,156,6,7,4.5
2022-05,156,7,7,4.5
2022-05,156,8,8,5.1
2022-05,156,9,4,2.6
2022-05,156,10,10,6.4
2022-05,156,11,7,4.5
2022-05,156,12,10,6.4
2022-05,156,13,11,7.1
2022-05,156,14,12,7.7
2022-05,156,15,7,4.5
2022-05,156,16,13,8.3
2022-05,156,17,8,5.1
2022-05,156,18,10,6.4
2022-05,156,19,9,5.8
2022-05,156,20,3,1.9
2022-05,156,21,11,7.1
2022-05,156,22,14,9.0
2022-06,187,0,187,100.0
2022-06,187,1,42,22.5
2022-06,187,2,17,9.1
2022-06,187,3,14,7.5
2022-06,187,4,16,8.6
2022-06,187,5,14,7.5
2022-06,187,6,17,9.1
2022-06,187,7,10,5.3
2022-06,187,8,7,3.7
2022-06,187,9,12,6.4
2022-06,187,10,12,6.4
2022-06,187,11,15,8.0
2022-06,187,12,8,4.3
2022-06,187,13,11,5.9
2022-06,187,14,10,5.3
2022-06,187,15,9,4.8
2022-06,187,16,8,4.3
2022-06,187,17,14,7.5
2022-06,187,18,10,5.3
2022-06,187,19,13,7.0
2022-06,187,20,9,4.8
2022-06,187,21,12,6.4
2022-07,160,0,160,100.0
2022-07,160,1,35,21.9
2022-07,160,2,20,12.5
2022-07,160,3,12,7.5
2022-07,160,4,13,8.1
2022-07,160,5,8,5.0
2022-07,160,6,15,9.4
2022-07,160,7,12,7.5
2022-07,160,8,8,5.0
2022-07,160,9,9,5.6
2022-07,160,10,16,10.0
2022-07,160,11,11,6.9
2022-07,160,12,9,5.6
2022-07,160,13,14,8.8
2022-07,160,14,3,1.9
2022-07,160,15,7,4.4
2022-07,160,16,6,3.8
2022-07,160,17,9,5.6
2022-07,160,18,4,2.5
2022-07,160,19,10,6.3
2022-07,160,20,9,5.6
2022-08,205,0,205,100.0
2022-08,205,1,40,19.5
2022-08,205,2,19,9.3
2022-08,205,3,16,7.8
2022-08,205,4,27,13.2
2022-08,205,5,18,8.8
2022-08,205,6,15,7.3
2022-08,205,7,14,6.8
2022-08,205,8,16,7.8
2022-08,205,9,11,5.4
