month,revenue,prev_revenue,mom_growth_pct
2022-01,246542.63,,
2022-02,504237.07,246542.63,104.52
2022-03,551963.26,504237.07,9.47
2022-04,541387.75,551963.26,-1.92
2022-05,651988.23,541387.75,20.43
2022-06,754363.41,651988.23,15.7
2022-07,749364.48,754363.41,-0.66
2022-08,911858.61,749364.48,21.68
2022-09,915222.68,911858.61,0.37
2022-10,1028724.65,915222.68,12.4
2022-11,1096204.16,1028724.65,6.56
2022-12,1147700.36,1096204.16,4.7
2023-01,1147112.73,1147700.36,-0.05
2023-02,1150112.49,1147112.73,0.26
2023-03,1209554.81,1150112.49,5.17
2023-04,1376554.53,1209554.81,13.81
2023-05,1592597.72,1376554.53,15.69
2023-06,1695652.87,1592597.72,6.47
2023-07,1819265.89,1695652.87,7.29
2023-08,2023991.02,1819265.89,11.25
2023-09,2214865.25,2023991.02,9.43
2023-10,2345102.36,2214865.25,5.88
2023-11,2321555.38,2345102.36,-1.0
2023-12,2903929.95,2321555.38,25.09
2024-01,3235685.39,2903929.95,11.42
2024-02,3712853.29,3235685.39,14.75
2024-03,3873956.7,3712853.29,4.34
