month,unique_customers,total_orders,gross_revenue,avg_order_value,refunded_amount,net_revenue
2022-01,85,222,435269.26,1960.67,62871.69,246542.63
2022-02,165,419,885148.6,2112.53,145640.33,504237.07
2022-03,234,532,1014677.77,1907.29,160863.19,551963.26
2022-04,287,522,1043557.8,1999.15,166796.18,541387.75
2022-05,306,574,1071898.02,1867.42,118463.64,651988.23
2022-06,393,696,1312186.31,1885.33,193570.12,754363.41
2022-07,390,677,1430642.05,2113.21,176498.11,749364.48
2022-08,439,814,1573306.8,1932.81,213964.71,911858.61
2022-09,461,806,1632788.04,2025.79,253288.81,915222.68
2022-10,532,890,1799336.26,2021.73,261202.34,1028724.65
2022-11,610,974,1872014.67,1921.99,248798.02,1096204.16
2022-12,639,1085,2137212.7,1969.78,320839.08,1147700.36
2023-01,685,1030,2005564.49,1947.15,301179.55,1147112.73
2023-02,712,1016,1911367.61,1881.27,228379.49,1150112.49
2023-03,802,1150,2148822.09,1868.54,302397.85,1209554.81
2023-04,884,1326,2576213.31,1942.85,393933.72,1376554.53
2023-05,959,1419,2809763.6,1980.1,407321.11,1592597.72
2023-06,1036,1542,2964875.27,1922.75,408933.53,1695652.87
2023-07,1122,1576,3106831.86,1971.34,389930.59,1819265.89
2023-08,1268,1885,3620127.62,1920.49,500670.01,2023991.02
2023-09,1283,1955,4071651.85,2082.69,638790.07,2214865.25
2023-10,1404,2081,4140078.41,1989.47,585944.47,2345102.36
2023-11,1440,2153,4075753.64,1893.06,612097.81,2321555.38
2023-12,1689,2658,5095923.44,1917.2,795390.39,2903929.95
2024-01,1843,2944,5817077.77,1975.91,867990.69,3235685.39
2024-02,1940,3275,6393321.92,1952.16,963766.82,3712853.29
2024-03,2011,3580,6745598.49,1884.25,1031240.31,3873956.7
