item_id,order_id,product_id,quantity,unit_price,line_total
1,1,33,1,1444.9,1444.9
2,2,201,1,26.77,26.77
3,2,193,1,38.36,38.36
4,3,27,1,1576.95,1576.95
5,3,38,1,1514.36,1514.36
6,3,31,2,1859.96,3719.92
7,4,179,1,237.4,237.4
8,4,166,1,425.57,425.57
9,5,96,2,234.27,468.54
10,6,13,2,1074.54,2149.08
11,7,85,1,629.11,629.11
12,7,84,1,695.93,695.93
13,7,88,1,441.01,441.01
14,8,67,1,250.2,250.2
15,8,78,1,152.26,152.26
16,8,52,1,45.09,45.09
17,8,74,1,56.27,56.27
18,8,58,1,153.18,153.18
19,9,119,1,370.62,370.62
20,10,98,2,649.0,1298.0
21,11,208,1,48.63,48.63
22,12,51,1,207.02,207.02
23,12,66,3,238.21,714.63
24,13,21,1,800.25,800.25
25,13,16,1,549.18,549.18
26,14,12,1,795.84,795.84
27,14,18,1,1141.99,1141.99
28,15,85,3,629.11,1887.33
29,15,94,2,603.33,1206.66
30,15,89,2,622.15,1244.3
31,15,102,1,945.47,945.47
32,16,222,1,48.55,48.55
33,17,118,1,231.73,231.73
34,17,132,2,331.49,662.98
35,17,113,2,110.83,221.66
36,18,3,1,678.73,678.73
37,18,22,1,997.4,997.4
38,18,18,1,1141.99,1141.99
39,18,9,1,382.47,382.47
40,18,13,1,1074.54,1074.54
41,19,40,1,1246.83,1246.83
42,19,34,1,728.1,728.1
43,20,40,1,1246.83,1246.83
44,20,44,1,980.74,980.74
45,21,71,1,248.89,248.89
46,22,61,1,70.21,70.21
47,22,68,1,217.48,217.48
48,23,54,2,72.59,145.18
49,23,58,2,191.47,382.94
50,24,9,2,382.47,764.94
51,24,5,2,883.9,1767.8
52,25,113,3,110.83,332.49
53,25,122,1,561.79,561.79
54,25,114,2,531.18,1062.36
55,25,121,1,226.36,226.36
56,26,21,1,760.24,760.24
57,27,133,1,1299.92,1299.92
58,27,150,1,1239.08,1239.08
59,28,15,1,315.19,315.19
60,29,176,1,664.0,664.0
61,30,42,2,1476.21,2952.42
62,31,18,1,1141.99,1141.99
63,32,159,1,660.64,660.64
64,32,172,1,666.79,666.79
65,33,57,1,213.07,213.07
66,33,70,1,317.29,317.29
67,33,54,1,61.7,61.7
68,33,59,1,147.05,147.05
69,34,34,2,728.1,1456.2
70,35,185,2,385.94,771.88
71,36,218,2,65.02,130.04
72,37,18,1,1141.99,1141.99
73,38,77,1,72.98,72.98
74,39,140,3,705.77,2117.31
75,40,60,3,54.37,163.1
76,40,69,1,85.3,85.3
77,40,75,2,172.7,345.41
78,41,57,1,225.6,225.6
79,41,74,1,63.31,63.31
80,42,16,3,549.18,1647.54
81,42,13,1,1074.54,1074.54
82,42,15,3,370.81,1112.43
83,43,128,1,262.84,262.84
84,44,177,1,262.35,262.35
85,45,76,2,68.91,137.82
86,46,183,1,231.06,231.06
87,47,120,1,319.24,319.24
88,48,8,1,438.93,438.93
89,48,20,1,640.51,640.51
90,48,1,2,546.53,1093.06
91,48,18,1,1141.99,1141.99
92,49,89,1,622.15,622.15
93,49,94,1,603.33,603.33
94,49,94,1,603.33,603.33
95,49,101,1,542.83,542.83
96,50,75,1,215.88,215.88
97,51,16,1,549.18,549.18
98,52,47,3,2392.7,7178.1
99,52,33,1,1605.45,1605.45
100,52,46,1,1564.41,1564.41
101,53,153,2,635.98,1271.96
102,54,156,1,824.59,824.59
103,54,158,1,177.32,177.32
104,55,23,2,582.91,1165.82
105,55,13,1,1074.54,1074.54
106,55,22,2,997.4,1994.8
107,56,188,1,626.36,626.36
108,56,160,1,626.4,626.4
109,57,60,2,67.96,135.92
110,57,59,1,173.0,173.0
111,57,65,1,348.59,348.59
112,58,131,1,313.94,313.94
113,58,108,2,564.41,1128.82
114,59,62,1,87.24,87.24
115,59,72,1,280.65,280.65
116,60,100,3,227.82,683.46
117,60,92,1,323.36,323.36
118,60,104,1,481.94,481.94
119,61,40,1,1246.83,1246.83
120,61,47,2,2392.7,4785.4
121,62,165,1,686.08,686.08
122,62,168,2,203.3,406.6
123,63,77,1,72.98,72.98
124,64,168,2,203.3,406.6
125,64,179,1,237.4,237.4
126,65,51,2,207.02,414.04
127,65,60,2,67.96,135.92
128,65,78,1,190.32,190.32
129,66,43,2,2222.68,4445.35
130,66,47,2,2153.43,4306.86
131,66,28,2,1499.46,2998.93
132,66,43,1,2222.68,2222.68
133,67,28,1,1666.07,1666.07
134,67,32,1,1690.78,1690.78
135,68,15,2,370.81,741.62
136,69,72,1,224.52,224.52
137,70,29,2,698.09,1396.19
138,71,99,2,955.04,1910.08
139,72,25,1,1497.46,1497.46
140,73,160,1,626.4,626.4
141,74,208,1,48.63,48.63
142,74,197,1,70.13,70.13
143,74,210,1,31.71,31.71
144,74,195,2,29.05,58.1
145,75,115,1,419.74,419.74
146,75,111,1,210.22,210.22
147,76,115,1,398.75,398.75
148,77,65,1,331.16,331.16
149,78,76,1,68.91,68.91
150,78,75,2,215.88,431.76
151,79,2,2,908.03,1816.06
152,80,6,1,829.34,829.34
153,80,2,2,908.03,1816.06
154,81,221,1,33.15,33.15
155,81,204,3,31.03,93.09
156,81,219,2,23.37,46.74
157,81,200,1,57.68,57.68
158,82,139,1,1433.9,1433.9
159,82,134,2,1104.33,2208.66
160,82,154,2,367.7,735.4
161,82,146,2,959.44,1918.88
162,82,146,2,959.44,1918.88
163,83,208,3,48.63,145.89
164,84,62,1,87.24,87.24
165,84,64,3,355.07,1065.21
166,85,130,3,372.97,1118.91
167,85,128,2,309.22,618.44
168,85,119,3,463.27,1389.81
169,85,113,1,110.83,110.83
170,85,123,1,469.98,469.98
171,86,7,1,870.6,870.6
172,87,35,1,1832.58,1832.58
173,87,28,1,1499.46,1499.46
174,87,39,1,1964.11,1964.11
175,87,49,1,1808.58,1808.58
176,87,29,1,698.09,698.09
177,88,45,1,1668.4,1668.4
178,88,49,2,1708.1,3416.2
179,88,39,2,1854.99,3709.98
180,89,7,1,1024.24,1024.24
181,89,2,2,908.03,1816.06
182,89,4,1,753.82,753.82
183,90,92,1,323.36,323.36
184,90,102,3,945.47,2836.41
185,90,103,1,485.25,485.25
186,90,83,1,942.21,942.21
187,91,23,1,553.76,553.76
188,91,22,2,947.53,1895.06
189,92,25,2,1497.46,2994.92
190,93,2,1,908.03,908.03
191,93,22,1,997.4,997.4
192,94,68,2,217.48,434.96
193,94,77,1,72.98,72.98
194,95,27,1,1576.95,1576.95
195,96,39,1,2182.34,2182.34
196,96,36,1,815.32,815.32
197,96,46,1,1564.41,1564.41
198,97,55,1,228.95,228.95
199,98,36,1,815.32,815.32
200,99,21,1,800.25,800.25
201,99,11,1,781.61,781.61
202,99,12,2,795.84,1591.68
203,100,131,1,313.94,313.94
204,101,110,1,153.05,153.05
205,101,109,1,504.37,504.37
206,101,132,2,331.49,662.98
207,101,120,2,354.71,709.42
208,102,12,1,795.84,795.84
209,103,60,1,67.96,67.96
210,104,76,1,68.91,68.91
211,104,74,1,70.34,70.34
212,104,62,1,87.24,87.24
213,105,75,2,215.88,431.76
214,105,55,1,228.95,228.95
215,106,32,1,1690.78,1690.78
216,107,162,1,356.11,356.11
217,107,177,2,276.16,552.32
218,107,174,1,194.68,194.68
219,108,12,1,756.05,756.05
220,108,21,1,760.24,760.24
221,108,3,1,644.79,644.79
222,108,6,1,787.87,787.87
223,109,92,1,323.36,323.36
224,109,81,2,734.78,1469.56
225,109,84,2,695.93,1391.86
226,110,44,1,980.74,980.74
