order_id,customer_id,order_date,status,subtotal,discount_pct,shipping,tax,total,payment_method,order_month
1,1,2023-08-19,completed,1444.9,10.0,0.0,115.59,1560.49,card,2023-08
2,2,2023-04-12,cancelled,65.13,0.0,6.43,5.21,76.77,card,2023-04
3,3,2023-07-14,cancelled,6811.23,0.0,0.0,544.9,7356.13,netbanking,2023-07
4,4,2024-01-23,processing,662.97,0.0,0.0,53.04,716.01,upi,2024-01
5,4,2023-09-06,refunded,468.54,0.0,0.0,37.48,506.02,netbanking,2023-09
6,4,2024-03-27,completed,2149.08,0.0,0.0,171.93,2321.01,card,2024-03
7,4,2023-09-15,completed,1766.05,0.0,0.0,141.28,1907.33,netbanking,2023-09
8,4,2024-01-02,processing,657.0,20.0,0.0,52.56,709.56,netbanking,2024-01
9,4,2024-01-30,completed,370.62,20.0,0.0,29.65,400.27,wallet,2024-01
10,4,2024-02-25,cancelled,1298.0,15.0,0.0,103.84,1401.84,wallet,2024-02
11,5,2023-09-13,completed,48.63,0.0,8.95,3.89,61.47,card,2023-09
12,5,2023-08-22,cancelled,921.65,0.0,0.0,73.73,995.38,card,2023-08
13,5,2023-07-02,cancelled,1349.43,0.0,0.0,107.95,1457.38,upi,2023-07
14,5,2023-11-13,processing,1937.83,0.0,0.0,155.03,2092.86,card,2023-11
15,5,2023-12-13,refunded,5283.76,0.0,0.0,422.7,5706.46,upi,2023-12
16,6,2024-03-09,completed,48.55,0.0,7.81,3.88,60.24,upi,2024-03
17,6,2024-01-03,refunded,1116.37,0.0,0.0,89.31,1205.68,card,2024-01
18,6,2024-03-02,processing,4275.13,0.0,0.0,342.01,4617.14,card,2024-03
19,6,2023-12-02,processing,1974.93,0.0,0.0,157.99,2132.92,card,2023-12
20,6,2023-12-24,completed,2227.57,0.0,0.0,178.21,2405.78,card,2023-12
21,7,2023-11-04,completed,248.89,15.0,0.0,19.91,268.8,upi,2023-11
22,8,2023-05-08,completed,287.69,0.0,0.0,23.02,310.71,upi,2023-05
23,9,2024-03-21,completed,528.12,0.0,0.0,42.25,570.37,card,2024-03
24,9,2023-02-24,cancelled,2532.74,0.0,0.0,202.62,2735.36,card,2023-02
25,9,2023-11-12,completed,2183.0,0.0,0.0,174.64,2357.64,card,2023-11
26,9,2023-09-24,refunded,760.24,5.0,0.0,60.82,821.06,card,2023-09
27,9,2023-03-10,completed,2539.0,0.0,0.0,203.12,2742.12,upi,2023-03
28,9,2023-07-09,cancelled,315.19,15.0,0.0,25.22,340.41,cod,2023-07
29,9,2023-12-29,completed,664.0,0.0,0.0,53.12,717.12,upi,2023-12
30,9,2023-11-03,completed,2952.42,0.0,0.0,236.19,3188.61,netbanking,2023-11
31,9,2023-02-21,completed,1141.99,0.0,0.0,91.36,1233.35,card,2023-02
32,9,2023-05-12,refunded,1327.43,0.0,0.0,106.19,1433.62,upi,2023-05
33,9,2023-09-21,completed,739.11,15.0,0.0,59.13,798.24,card,2023-09
34,10,2022-01-10,completed,1456.2,0.0,0.0,116.5,1572.7,card,2022-01
35,10,2022-02-06,refunded,771.88,0.0,0.0,61.75,833.63,card,2022-02
36,10,2022-02-09,completed,130.04,0.0,0.0,10.4,140.44,netbanking,2022-02
37,10,2022-01-08,processing,1141.99,0.0,0.0,91.36,1233.35,netbanking,2022-01
38,10,2022-01-10,cancelled,72.98,0.0,7.57,5.84,86.39,upi,2022-01
39,10,2022-02-07,refunded,2117.31,0.0,0.0,169.38,2286.69,wallet,2022-02
40,10,2022-01-04,completed,593.81,20.0,0.0,47.5,641.31,card,2022-01
41,11,2022-03-12,completed,288.91,10.0,0.0,23.11,312.02,upi,2022-03
42,12,2022-09-11,completed,3834.51,0.0,0.0,306.76,4141.27,netbanking,2022-09
43,13,2023-08-05,completed,262.84,15.0,0.0,21.03,283.87,upi,2023-08
44,13,2023-10-02,processing,262.35,5.0,0.0,20.99,283.34,card,2023-10
45,13,2023-12-01,completed,137.82,0.0,0.0,11.03,148.85,upi,2023-12
46,14,2023-02-17,completed,231.06,0.0,0.0,18.48,249.54,netbanking,2023-02
47,15,2023-09-06,completed,319.24,10.0,0.0,25.54,344.78,netbanking,2023-09
48,16,2023-06-12,cancelled,3314.49,0.0,0.0,265.16,3579.65,card,2023-06
49,17,2023-12-27,completed,2371.64,0.0,0.0,189.73,2561.37,cod,2023-12
50,17,2024-03-22,completed,215.88,0.0,0.0,17.27,233.15,netbanking,2024-03
51,17,2024-03-19,cancelled,549.18,0.0,0.0,43.93,593.11,upi,2024-03
52,18,2024-03-14,completed,10347.96,0.0,0.0,827.84,11175.8,netbanking,2024-03
53,18,2024-03-19,completed,1271.96,0.0,0.0,101.76,1373.72,card,2024-03
54,18,2024-02-27,completed,1001.91,0.0,0.0,80.15,1082.06,netbanking,2024-02
55,18,2024-03-05,completed,4235.16,0.0,0.0,338.81,4573.97,netbanking,2024-03
56,18,2023-12-09,processing,1252.76,0.0,0.0,100.22,1352.98,upi,2023-12
57,18,2024-01-10,cancelled,657.51,0.0,0.0,52.6,710.11,upi,2024-01
58,18,2023-12-02,completed,1442.76,0.0,0.0,115.42,1558.18,card,2023-12
59,18,2023-12-29,completed,367.89,0.0,0.0,29.43,397.32,netbanking,2023-12
60,19,2023-05-29,refunded,1488.76,0.0,0.0,119.1,1607.86,card,2023-05
61,20,2023-02-13,completed,6032.23,0.0,0.0,482.58,6514.81,upi,2023-02
62,20,2024-02-16,completed,1092.68,0.0,0.0,87.41,1180.09,netbanking,2024-02
63,20,2023-12-01,completed,72.98,0.0,3.56,5.84,82.38,netbanking,2023-12
64,21,2023-12-05,processing,644.0,0.0,0.0,51.52,695.52,wallet,2023-12
65,22,2024-02-27,cancelled,740.28,0.0,0.0,59.22,799.5,upi,2024-02
66,23,2022-06-13,completed,13973.82,10.0,0.0,1117.91,15091.73,card,2022-06
67,24,2023-03-18,completed,3356.85,0.0,0.0,268.55,3625.4,wallet,2023-03
68,24,2022-10-09,processing,741.62,0.0,0.0,59.33,800.95,card,2022-10
69,24,2022-07-24,refunded,224.52,20.0,0.0,17.96,242.48,card,2022-07
70,25,2023-06-20,cancelled,1396.19,10.0,0.0,111.7,1507.89,card,2023-06
71,26,2023-04-21,completed,1910.08,0.0,0.0,152.81,2062.89,cod,2023-04
72,26,2023-10-27,cancelled,1497.46,0.0,0.0,119.8,1617.26,card,2023-10
73,26,2023-04-01,completed,626.4,0.0,0.0,50.11,676.51,wallet,2023-04
74,26,2023-01-04,processing,208.57,0.0,0.0,16.69,225.26,wallet,2023-01
75,26,2023-12-30,refunded,629.96,0.0,0.0,50.4,680.36,card,2023-12
76,26,2023-10-22,completed,398.75,5.0,0.0,31.9,430.65,upi,2023-10
77,26,2023-08-07,completed,331.16,5.0,0.0,26.49,357.65,card,2023-08
78,26,2023-04-03,cancelled,500.67,0.0,0.0,40.05,540.72,netbanking,2023-04
79,26,2023-06-17,completed,1816.06,0.0,0.0,145.28,1961.34,card,2023-06
80,26,2023-05-25,completed,2645.4,0.0,0.0,211.63,2857.03,cod,2023-05
81,26,2024-01-23,refunded,230.66,0.0,0.0,18.45,249.11,card,2024-01
82,26,2023-09-10,refunded,8215.72,0.0,0.0,657.26,8872.98,card,2023-09
83,26,2023-12-12,completed,145.89,0.0,0.0,11.67,157.56,upi,2023-12
84,26,2023-09-17,cancelled,1152.45,0.0,0.0,92.2,1244.65,card,2023-09
85,26,2024-01-08,completed,3707.97,0.0,0.0,296.64,4004.61,card,2024-01
86,26,2023-04-03,completed,870.6,15.0,0.0,69.65,940.25,wallet,2023-04
87,26,2024-03-29,completed,7802.82,10.0,0.0,624.23,8427.05,card,2024-03
88,26,2023-01-26,cancelled,8794.58,15.0,0.0,703.57,9498.15,netbanking,2023-01
89,26,2024-03-04,refunded,3594.12,0.0,0.0,287.53,3881.65,card,2024-03
90,26,2023-04-09,cancelled,4587.23,0.0,0.0,366.98,4954.21,upi,2023-04
91,26,2023-08-24,cancelled,2448.82,5.0,0.0,195.91,2644.73,card,2023-08
92,26,2023-02-15,processing,2994.92,0.0,0.0,239.59,3234.51,wallet,2023-02
93,26,2022-12-23,completed,1905.43,0.0,0.0,152.43,2057.86,card,2022-12
94,26,2023-11-08,completed,507.94,0.0,0.0,40.64,548.58,netbanking,2023-11
95,26,2024-01-11,completed,1576.95,0.0,0.0,126.16,1703.11,netbanking,2024-01
96,26,2023-11-15,completed,4562.07,0.0,0.0,364.97,4927.04,netbanking,2023-11
97,26,2023-07-15,completed,228.95,0.0,0.0,18.32,247.27,card,2023-07
98,26,2023-01-11,completed,815.32,0.0,0.0,65.23,880.55,card,2023-01
99,26,2023-01-21,completed,3173.54,0.0,0.0,253.88,3427.42,card,2023-01
100,26,2024-03-20,completed,313.94,0.0,0.0,25.12,339.06,upi,2024-03
101,26,2023-06-19,completed,2029.82,0.0,0.0,162.39,2192.21,card,2023-06
102,26,2023-02-18,completed,795.84,0.0,0.0,63.67,859.51,netbanking,2023-02
103,26,2023-12-19,cancelled,67.96,0.0,4.7,5.44,78.1,card,2023-12
104,26,2023-09-05,cancelled,226.49,0.0,0.0,18.12,244.61,card,2023-09
105,26,2023-03-06,completed,660.71,0.0,0.0,52.86,713.57,card,2023-03
106,26,2023-11-05,completed,1690.78,0.0,0.0,135.26,1826.04,card,2023-11
107,26,2023-05-28,completed,1103.11,0.0,0.0,88.25,1191.36,card,2023-05
108,26,2024-01-19,processing,2948.95,5.0,0.0,235.92,3184.87,wallet,2024-01
109,26,2024-03-14,completed,3184.78,0.0,0.0,254.78,3439.56,card,2024-03
110,26,2023-09-26,processing,980.74,0.0,0.0,78.46,1059.2,upi,2023-09
111,26,2023-08-30,completed,1507.64,0.0,0.0,120.61,1628.25,upi,2023-08
112,26,2023-07-21,completed,385.94,0.0,0.0,30.88,416.82,netbanking,2023-07
113,26,2023-10-03,completed,4589.26,0.0,0.0,367.14,4956.4,card,2023-10
114,26,2023-08-01,completed,3247.05,5.0,0.0,259.76,3506.81,upi,2023-08
115,26,2023-01-16,completed,775.09,15.0,0.0,62.01,837.1,card,2023-01
116,26,2023-08-24,refunded,1600.5,0.0,0.0,128.04,1728.54,netbanking,2023-08
117,26,2023-02-22,refunded,222.78,0.0,0.0,17.82,240.6,netbanking,2023-02
118,26,2023-01-15,completed,336.03,5.0,0.0,26.88,362.91,upi,2023-01
119,26,2023-02-12,completed,835.49,0.0,0.0,66.84,902.33,netbanking,2023-02
120,26,2023-05-16,processing,695.3,0.0,0.0,55.62,750.92,upi,2023-05
121,26,2023-06-17,cancelled,313.94,0.0,0.0,25.12,339.06,netbanking,2023-06
122,26,2024-01-28,processing,1584.77,0.0,0.0,126.78,1711.55,upi,2024-01
123,26,2023-02-13,refunded,305.08,0.0,0.0,24.41,329.49,card,2023-02
124,26,2023-04-22,processing,1024.24,0.0,0.0,81.94,1106.18,card,2023-04
125,26,2023-04-18,cancelled,2011.14,0.0,0.0,160.89,2172.03,netbanking,2023-04
126,26,2024-03-01,completed,1011.32,0.0,0.0,80.91,1092.23,card,2024-03
127,26,2023-01-13,completed,2870.76,0.0,0.0,229.66,3100.42,wallet,2023-01
128,26,2023-07-06,refunded,1024.24,0.0,0.0,81.94,1106.18,upi,2023-07
129,26,2023-07-08,completed,106.62,0.0,0.0,8.53,115.15,netbanking,2023-07
130,26,2023-03-09,completed,812.69,0.0,0.0,65.02,877.71,card,2023-03
131,26,2023-02-22,completed,642.51,5.0,0.0,51.4,693.91,card,2023-02
