product_id,name,category,price,cost,margin_pct,is_active,launch_date
1,"Rodriguez, Smartphone FL-218",Smartphones,546.53,106.89,80.4,True,2025-02-01
2,Johnson Smartphone BJ-389,Smartphones,908.03,170.71,81.2,True,2024-02-20
3,"Santos, Smartphone WZ-940",Smartphones,678.73,112.45,83.4,True,2023-12-22
4,"Henderson, Smartphone YG-511",Smartphones,753.82,124.26,83.5,True,2024-10-26
5,Munoz-Roman Smartphone YF-781,Smartphones,883.9,122.49,86.1,True,2025-08-22
6,Calderon-Montgomery Smartphone TE-593,Smartphones,829.34,124.42,85.0,True,2023-06-28
7,"Perez, Smartphone RD-316",Smartphones,1024.24,105.23,89.7,True,2025-12-30
8,Martin-Kelly Smartphone OK-419,Smartphones,438.93,135.17,69.2,False,2025-07-25
9,"Sanchez, Smartphone XX-835",Smartphones,382.47,134.84,64.7,True,2023-07-13
10,Underwood Smartphone NK-641,Smartphones,842.35,180.67,78.6,True,2024-08-18
11,Rios Smartphone IP-724,Smartphones,781.61,170.11,78.2,False,2025-09-06
12,"Baker, Smartphone IG-653",Smartphones,795.84,138.6,82.6,True,2025-05-23
13,Campos Smartphone ME-226,Smartphones,1074.54,160.13,85.1,True,2024-12-05
14,Carlson-Mcdonald Smartphone RU-480,Smartphones,340.24,167.85,50.7,True,2023-10-12
15,"Dyer, Smartphone BK-514",Smartphones,370.81,130.61,64.8,True,2025-03-22
16,Mckay Smartphone GG-482,Smartphones,549.18,113.71,79.3,True,2025-12-14
17,Skinner-Romero Smartphone WK-325,Smartphones,632.16,137.38,78.3,True,2025-08-02
18,"Sellers, Smartphone PD-154",Smartphones,1141.99,128.6,88.7,True,2024-04-26
19,"Arroyo, Smartphone IQ-182",Smartphones,453.02,159.29,64.8,True,2025-04-25
20,"Martin, Smartphone TT-383",Smartphones,640.51,119.31,81.4,False,2024-12-27
21,"Santos, Smartphone EV-133",Smartphones,800.25,162.06,79.7,True,2023-05-20
22,"Spencer, Smartphone CV-031",Smartphones,997.4,180.25,81.9,True,2023-08-06
23,"Young, Smartphone EP-299",Smartphones,582.91,107.53,81.6,True,2025-04-21
24,Lee-Davis Laptop AD-656,Laptops,1633.36,311.35,80.9,True,2023-07-11
25,"Valdez, Laptop MM-513",Laptops,1497.46,206.48,86.2,True,2025-07-29
26,Taylor-White Laptop CZ-731,Laptops,784.74,270.88,65.5,True,2025-08-19
27,Williams Laptop KA-013,Laptops,1576.95,286.17,81.9,True,2025-05-11
28,Lewis-Morales Laptop AY-026,Laptops,1666.07,238.79,85.7,True,2024-06-02
29,Mitchell-Horton Laptop MS-872,Laptops,775.66,323.95,58.2,True,2024-03-21
30,Riley Laptop DL-050,Laptops,2221.21,287.79,87.0,True,2025-04-27
31,"Calhoun, Laptop EM-812",Laptops,1859.96,198.6,89.3,True,2023-08-01
32,"Hensley, Laptop MC-939",Laptops,1690.78,232.25,86.3,True,2025-12-05
33,Barnes Laptop QN-985,Laptops,1605.45,212.29,86.8,False,2026-02-21
34,"Edwards, Laptop WE-475",Laptops,728.1,276.49,62.0,True,2023-05-02
35,Howell-Hart Laptop NG-118,Laptops,2036.2,287.06,85.9,True,2024-06-02
36,Mahoney Laptop KC-354,Laptops,815.32,218.59,73.2,True,2025-08-08
37,"Turner, Laptop TQ-808",Laptops,1938.36,282.75,85.4,False,2023-09-25
38,Baker Laptop SM-824,Laptops,1514.36,288.72,80.9,True,2024-03-10
39,"Cooper, Laptop DF-874",Laptops,2182.34,268.26,87.7,True,2025-12-28
40,Calderon-Williams Laptop KV-524,Laptops,1246.83,204.43,83.6,True,2025-03-04
41,"Thornton, Laptop XL-280",Laptops,2343.87,317.39,86.5,True,2025-08-23
42,Jordan Laptop WN-450,Laptops,1476.21,264.31,82.1,True,2026-03-12
43,Estrada Laptop VJ-869,Laptops,2469.64,228.99,90.7,True,2024-04-19
44,Cherry Laptop VV-602,Laptops,980.74,210.5,78.5,True,2025-01-16
45,"Shields, Laptop EO-160",Laptops,1962.82,186.44,90.5,True,2024-02-22
46,Bailey-Hoover Laptop QM-330,Laptops,1564.41,321.05,79.5,True,2024-12-26
47,Ramirez-Jones Laptop ZR-458,Laptops,2392.7,273.41,88.6,True,2025-07-28
48,Crosby-Wilson Laptop QC-429,Laptops,1712.19,253.64,85.2,False,2023-10-03
49,"Hamilton, Laptop YK-981",Laptops,2009.53,313.71,84.4,True,2024-02-07
50,Williams-Graham Headphone XB-883,Headphones,284.09,23.02,91.9,True,2023-08-04
51,"Mccall, Headphone TQ-148",Headphones,207.02,30.37,85.3,True,2025-01-11
52,Powell-Phillips Headphone QY-236,Headphones,56.36,18.09,67.9,True,2026-03-05
53,"Orr, Headphone SN-804",Headphones,51.52,25.8,49.9,True,2025-02-13
54,"Lawson, Headphone YY-387",Headphones,72.59,18.02,75.2,True,2024-01-06
55,"Miller, Headphone RT-513",Headphones,228.95,22.01,90.4,True,2024-03-31
56,Hernandez Headphone XE-379,Headphones,237.73,24.29,89.8,True,2025-03-25
57,Mercado-Johnston Headphone PJ-676,Headphones,250.67,30.12,88.0,True,2026-01-31
58,"Smith, Headphone LZ-163",Headphones,191.47,24.1,87.4,True,2026-04-03
59,"Marshall, Headphone ZD-172",Headphones,173.0,26.84,84.5,True,2026-02-18
60,"Travis, Headphone BJ-798",Headphones,67.96,29.85,56.1,True,2025-03-10
61,Manning Headphone OR-743,Headphones,70.21,26.65,62.0,True,2025-07-05
62,Sims-Hill Headphone RV-143,Headphones,87.24,28.92,66.9,True,2024-08-26
63,"Miller, Headphone AA-231",Headphones,98.06,25.03,74.5,True,2024-09-13
64,"Owens, Headphone WK-690",Headphones,355.07,23.95,93.3,True,2024-11-28
65,Smith-Bell Headphone VV-668,Headphones,348.59,29.03,91.7,True,2025-08-13
66,"Hurst, Headphone VQ-706",Headphones,238.21,26.74,88.8,True,2026-03-08
67,Ramsey-Pittman Headphone BZ-298,Headphones,312.75,18.52,94.1,True,2025-10-23
68,"Alvarado, Headphone QY-720",Headphones,217.48,23.12,89.4,True,2024-09-07
69,Gibson Headphone QF-646,Headphones,106.62,30.42,71.5,True,2025-04-17
70,Curry Headphone XP-531,Headphones,373.28,22.89,93.9,True,2023-06-19
71,Herring Headphone PI-092,Headphones,292.81,21.34,92.7,True,2025-04-22
72,"Wilson, Headphone MM-452",Headphones,280.65,28.67,89.8,True,2023-10-12
73,Oconnell Headphone KR-904,Headphones,125.2,19.94,84.1,True,2024-11-21
74,David-Gonzalez Headphone SX-931,Headphones,70.34,27.97,60.2,True,2024-07-29
75,"Burke, Headphone BQ-058",Headphones,215.88,17.89,91.7,True,2024-11-13
76,Hunter Headphone GB-067,Headphones,68.91,24.96,63.8,True,2024-10-31
77,"Snow, Headphone NZ-284",Headphones,72.98,29.66,59.4,True,2025-08-01
78,Marshall-Petersen Headphone PF-945,Headphones,190.32,29.82,84.3,False,2024-06-24
79,Sanchez-Marshall Tablet BF-965,Tablets,230.79,104.21,54.8,True,2024-09-03
80,Freeman Tablet MS-454,Tablets,651.18,108.9,83.3,True,2024-06-20
81,"Smith, Tablet WP-678",Tablets,734.78,85.22,88.4,True,2026-03-25
82,Brewer-Henry Tablet OZ-014,Tablets,303.7,85.51,71.8,True,2026-03-27
83,Torres Tablet HW-578,Tablets,942.21,96.95,89.7,False,2025-02-06
84,"Pierce, Tablet HU-443",Tablets,695.93,70.21,89.9,True,2024-02-11
85,Wilson-Herrera Tablet VE-233,Tablets,629.11,75.62,88.0,True,2024-06-20
86,"Lawrence, Tablet OX-134",Tablets,478.21,77.56,83.8,True,2024-01-21
87,Smith-Ferguson Tablet JS-400,Tablets,426.99,84.23,80.3,True,2026-04-05
88,Little Tablet SE-109,Tablets,441.01,102.08,76.9,False,2025-04-30
89,Peterson-Sheppard Tablet EZ-471,Tablets,622.15,117.83,81.1,True,2025-05-20
90,Ray Tablet ZK-022,Tablets,944.4,102.76,89.1,True,2024-08-01
91,Mcknight Tablet MY-869,Tablets,410.57,122.07,70.3,True,2025-12-03
92,Rowe Tablet LB-774,Tablets,323.36,113.97,64.8,True,2024-08-04
93,"Oliver, Tablet QF-334",Tablets,473.3,82.22,82.6,True,2023-12-17
94,Thompson Tablet CS-206,Tablets,603.33,120.57,80.0,True,2025-10-26
95,Carter-Hall Tablet RO-471,Tablets,239.64,123.87,48.3,True,2024-06-01
96,"Lawrence, Tablet PJ-183",Tablets,234.27,119.16,49.1,True,2024-06-03
97,Jones Tablet SC-499,Tablets,982.84,77.46,92.1,True,2023-10-28
98,Barker-Lyons Tablet FC-488,Tablets,763.53,96.03,87.4,True,2023-08-20
99,"Williams, Tablet OR-401",Tablets,955.04,76.33,92.0,True,2025-09-27
100,"Sampson, Tablet WW-490",Tablets,227.82,78.55,65.5,True,2024-01-15
101,Stone-Ramos Tablet BO-429,Tablets,542.83,102.64,81.1,True,2025-05-20
102,Harrison Tablet KV-551,Tablets,945.47,91.42,90.3,False,2025-01-16
103,"Simpson, Tablet FU-807",Tablets,485.25,72.03,85.2,True,2024-05-14
104,Wilson-Barton Tablet DA-808,Tablets,481.94,109.47,77.3,True,2023-07-11
105,Stone Tablet NR-770,Tablets,978.07,121.87,87.5,True,2025-08-18
106,Pennington Smartwatche OM-710,Smartwatches,587.1,60.33,89.7,True,2024-04-23
107,"Moore, Smartwatche DH-131",Smartwatches,111.39,60.83,45.4,True,2026-01-18
108,Jimenez Smartwatche AE-484,Smartwatches,564.41,44.52,92.1,True,2025-04-20
109,Bryant Smartwatche GV-639,Smartwatches,504.37,60.31,88.0,True,2023-11-16
110,Hill Smartwatche AS-584,Smartwatches,153.05,58.04,62.1,True,2024-07-24
111,"Carpenter, Smartwatche WV-787",Smartwatches,210.22,60.15,71.4,True,2025-08-22
112,"Bennett, Smartwatche OX-396",Smartwatches,251.6,48.32,80.8,True,2025-01-15
113,Flores Smartwatche FC-662,Smartwatches,110.83,41.41,62.6,True,2023-10-31
114,"Sanford, Smartwatche DA-718",Smartwatches,531.18,44.4,91.6,False,2023-11-27
115,Pitts-Booker Smartwatche VN-174,Smartwatches,419.74,42.94,89.8,True,2026-03-29
116,Santos-Christian Smartwatche OT-865,Smartwatches,367.11,63.79,82.6,False,2025-05-15
117,"Johnson, Smartwatche BG-431",Smartwatches,584.2,38.08,93.5,True,2025-12-27
118,"Brennan, Smartwatche YD-005",Smartwatches,231.73,63.24,72.7,True,2024-07-16
119,Brooks-Thomas Smartwatche RY-869,Smartwatches,463.27,47.56,89.7,True,2024-01-22
120,Thompson Smartwatche FL-693,Smartwatches,354.71,52.65,85.2,True,2023-11-26
121,Murray Smartwatche ZD-740,Smartwatches,226.36,51.77,77.1,True,2024-07-07
122,"Payne, Smartwatche SQ-946",Smartwatches,561.79,34.7,93.8,True,2025-03-27
123,Gonzalez-Cruz Smartwatche YK-713,Smartwatches,469.98,56.02,88.1,True,2024-10-26
124,"Phillips, Smartwatche KR-640",Smartwatches,133.99,45.47,66.1,True,2023-07-03
125,"Mcgee, Smartwatche OO-395",Smartwatches,255.96,44.46,82.6,True,2024-02-07
126,"King, Smartwatche TY-210",Smartwatches,249.16,56.03,77.5,True,2025-03-02
127,Riley Smartwatche UV-214,Smartwatches,300.2,46.78,84.4,True,2025-01-22
128,Gonzalez Smartwatche RK-588,Smartwatches,309.22,38.43,87.6,False,2024-05-21
